name,url
"Edward Skeletrix","1XbLGDUkFy8glOxkoG-99vB-FB-eXdmtYGtsPHP7YFKw"
"Elita Harkov","1KwppW852lb9IXEjE8gIgkOGg-ZFtzDLPfmL_nvUOIys"
"Eminem","1YYFOme8u1CsnVfRSjrYdIZVd7wKLr6em61EtEWqQT6c"
"ericdoa","1z9a6BiP-ciHNRCRMVUt63_E1-qXhXOs9fGnoIYMii5M"
"Ethel Cain","1hYP9poOhBqk9OERZsm62NIT1U_SvB6Medd2LOR0JfsE"
"Fetty Wap","1H4sofJeMazqIyHJhi51FzAitZL4t0myFcygknSFMTBQ"
"Fifth Harmony","1CfmuUh4yuMpNFxDcvW3b96Hff08MwSSm8Um2uAPT52E"
"Fivio Foreign","1WsQu4DDuXaPywG_DGXG30TOmQeHF-924b8UdL-ZfZjo"
"FLO","1yo14IYelU2uyTtOAYaLQybZ5DHcuWJRHqsDduNum76g"
"Frank Ocean","1wlztKH_bwoTDtMZFm8-lYqzZWLCGf-XqE-gea-nGR0Y"
"Fred Again..","1QkTaacoTmTTIQt2Iiiz44Pqg9-KN2Yi6lVYTyrk6DHI"
"Freddie Dredd","1eQwgruxLnhQN2MUbttQMfsYpHjpYSOyjmNPqZKFWpro"
"Freddie Gibbs","1CCe1DI9VIp0J4MQyTsdMuOriZ9ucmCVMw6nS9j8e4N0"
"Future","1Zo4m8fpH8nZSF3UHWj3WCZwlCW065W51iadlY382844"
"G.O.A.T. Music","1D-3NLJFB7I8msiIgKtHezPOw2Pa0tqJ187H6YlJppqo"
"Glaive","1CnMDCqyKcvmo62IaBt2wcib69RDlCcTL1io-tMBYSVs"
"Gracie Abrams","10UUv1n4a_JP_oxaG_ranBkjhrCxES7GkDiRpMVL8mmU"
"Gucci Mane","1F-0vYFU1_F3IdZTAN5-H0YWvzhW88vg95AmVxZxoCEM"
"Gunna","1P_BA-CIy05lDl9j1H06awxNqvXYJcD-KeBPVdgTO7Eo"
"H.E.R.","14-A5ZdkghctPgvPSfRm48Er8_RC3ea_EeMh1gVaP-jE"
"Halsey","14TXHFK_25arf1nIkFXkLmOfVs1Yz1e0dz-pTIGqF9OE"
"Harry Styles","1TxyYnPGWzZKlMqGsG7d-W_CLiHmpIPEzibHpWCRyCdA"
